Author,Comment,Predicted_Class
@alenascafe6204,I DID NOT KNOW MKBHD WAS INTO F1??? SHUT UP OMG,2
@eakusi,WHICH PHONE WERE YOU USING AT THE LV GP. Looks great.,1
@ThomasSlayer,Infomercial,2
@muhanad84,"Waw, like no one knows what formula 1 is, go find something better to do, and maybe do something useful for the world for a change",2
@DiegoCortesLopez-ws3zj,I’m obsessed with F1 now. It’s been a week 😊,2
@Theophorussamuel,"3:42 !!! Did you guys notice the like button highlights when he says ""Like Button"" 😱",2
@digvijaymahamuni7722,The amount of time marques said Bitdefender!!😂😂,1
@mwenzel7712,This was one of the best videos i have seen on YouTube.,2
@LuisAngelAvalosVarela,"Great video. You should do one with all the functions that pilots have to perform on their wheels while driving at high speeds, very interesting topic inside F1 for me",2
@williamneikha2239,Nice content..,2
@gregorymarkert,Yes who better to teach someone about a sport than someone brand new to the sport with no prior knowledge of auto racing of any kind.,2
@a.3160,This was cringe,2
@Maqqzy,Dödödödö MAX VERSTAPPEN,2
@bronsondiamond2025,Oh boy I luuuhhh me some F1 but that MotoGP took over my life and then GT2 Racing after that because I was sim racing Assetto Corsa Competizione so much xD,2
@freaK_09,"What slows down the cars behind is the hot and dirty air that's coming from the car in front that gets in the bottom of the car that's behind and makes its downforce way worse, because the air has heat and the hot air expands. Making the car that's behind slower and unable to overtake, that's why DRS (Drag Reduction System) exists. And drivers can enable it only when they are less than one second from the car in front and in specific DRS zones. You should correct that.",2
@ivanromero7274,Not Watching since the Engine change. V8 for ever!!,2
@automate_all_the_things,Great video! Could you do the same for Formula E on your other channel @autofocus?,2
@phinneas.wilson,Love the Chanel,2
@AmandeepSingh-mb2nz,The MKBHD car rilvery in the video looks way great to some of the rilveries in 2024.,2
@shabirparwaz,"My man just made a 19 minute ad for Bitdefender, but somehow managed to make it another banger video. Truman Show :D",1
@ShakaTechnique,And then verstappen is +8 seconds 😆,2
@DavidT811,MotoGP is also sick!!!,2
@Mrcavenanhelp404,DRS is only active when a driver is within a second of the one ahead of,2
@Yaroslav_Tselovanskyi,Hi!,2
@syrianrevive,Bit Defender explained,1
@RohanMocke,Thank you for sharing. Funny that Americans require videos on how everything works....but anyway how everyone enjoys F1. It's a great sport to watch.,2
@thenotorious2748,Good job mate,2
@sagarubharecreativity,Very informative learnt a lot about F1 Next one should be motogp,2
@spacecoyote6646,Compare this to unlimited airplane racing like we had at the Reno Air Races,2
@NiltonMeira,"Being an F1 specter for about 30 years now, staying up late and waking up early on Sundays to see the spectacular Airton Senna, I can safely say that you nailed a very light, yet deep enough explanation for someone that doesn't know F1 to get a good glimps of it. As always another great video.",2
@bigjack79,The drive to survive series on Netflix is really good. I have a atmos home theather setup and the audio is amazing.,2
@McLeroyIbe,Even their earlier f1 cars are still beautiful,2
@rajat8314,Smoooooothhhh operator,2
@andrewdakus1766,"The practice session was not ""interrupted""... I paid $500 to be there and they made MILLIONS off of Thursday ticket sales and they built a shabby track and kicked out all the fans and then ran the practice in private.  It was closer to the world's biggest robbery than an interruption",2
@raulmedina2024,NO,2
@redsoxboi1,Thank God Lewis is leaving Mercedes. Toto and the team giving him 0 chances.,2
@andreagv3,"Ha ha, it's so endearing to see Americans get all excited about this ""brand new"" sport, that they now make all these explainer videos, as if nobody knows anything about it, and they now ""discovered"" this sport and want to explain it to everyone else....Dudes, it's been 70+ years that it's existed, and we have been avidly following since the 50's.... Brits, Italians, Germans, French, S. Americans, we've always been big fans...Kinda shows how oblivious Americans are outside of their own bubble to what is actually happening in the world...So welcome to F1, but it's not a ""new"" sport... you're just late to the game! LOL!",2
@senh4944,this constant add thing with bitdefender for the whole duration of the video is pretty annoying ngl,2
@shafinc04,This is the best BitDefender ad ever 😂😂 jk great video 💯💯,1
@t.rishikesh,why are you guys shocked. THIS IS CALLED MECHANICAL AUTOMOTIVE ENGINEERING,2
@wasay3791,Can you please make a page where you shoot pictures and we can just download it cause this picture that I've paused on is just so amazing i wanna download it in high quality 😍,2
@ltownandfriends4531,@9:32 that flex was a bit unnecessary...,1
@jackawackamooable,Did I just hear you say “your” car?,2
@andru8ontiverx986,Became an F1 fan this year bc “Rush” is one of my favorite movies and so far I love it. This vid def helps to bc I’m still a lil confused,2
@mortonbeard2240,"Back in the early 80's I happen to be at a turn when they raced in Deroit. The car came straight at me, braked and turned so fast. In was cartoonish.",2
@gknomics,"2023: Bit defender on the Ferrari team car, 2022: Ferrari constantly catching on fire and crashing on every race",1
@12w0,why werent you doing these things 10 years ago?,2
@luisv8431,F1 is for cars nerds,2
@Formula1Fail84,"if you're new, dont support Ferrari, trust me your mental health will be much better....MasterBlan",2
@charliesgame700,Talk about Dakar race,2
@shannonmcstormy5021,"I stopped watching when F1 Race Direction stole Hamilton's championship and gave it to the cheaters: Red Bull. Good sportsmanship is critical to my enjoyment of a given sport. F1 pooped the bed there and have done nothing to reclaim my loyalty since. The ""recent"" manhole cover incident where the victim of the race track, Carlos Sainz, was penalized?! was but another ridiculous and patently-unfair rulings.",2
@generalkenobi323,"Great sport, super entertaining, great teams, great drivers, insane tracks. Too bad THE SAME GUY ALWAYS WINS",2
@azgx,This whole video on F1 and with these very informative comments really does help me who basically knows nothing about F1 to understand more! Great video Marq!,2
@kevinthomas5112,Welcome my friend,2
@xkernalsandersx,This 20 minute video hooked me into F1 and I'm all about it this year,2
@nikhilcpatel,"After so many years, I finally got what is F1 :) - I am a fan of F1 now. Thanks, MKBHD for educating me.",2
@simonparent7644,"Great job Marques, I learned stuff from you that i had never realized after being a fan of F1 forever! Cheers mate!",2
@sanibirmah312,I miss when Hamilton was dominating f1. There was always drama. I love max but his wins are booring and the gaps are insane,2
@danielan7171,This dude needs to stick to making iphone reviews. Such a clown.,2
@ayansingh6793,yo how did u do that like button thingy,2
@shashidhargowda9326,"Stick to tech buddy.. We really dont want you in that space. Leave that alone, please!",2
@EmmanuelChegeni,"For the first time, someone has made F1 make sense to me, always wondered why they had such huge budgets and what all the hype was about, now i understand, i think watching it as a tech competition and art makes much more sense than watching it as simply a race.",2
@APEXRACING943,if you started watching 2020 and 2021 you would get how crazy these seasons were,2
