Author,Comment,Predicted_Class
@sinojabraham,Ningal paranjathu correct...pullikku pattiyathalla bigg boss,2
@varshavenu8961,Worst contestant,2
@ajipaul1239,Jasim agent sai,2
@RalphRostellini,English padikkeda,2
@jazeelmuhammed3655,5:15 idh correct,2
@punjabiradio,"Sai, I don't like him. I learned a long time ago that he only knows how to talk when he is sitting in the car. Jasmin Sai Janmani.... these 3 should be out.",2
@RalphRostellini,Thootal agent,2
@prasadkunnath9612,Sai no use no car,2
@ameenashraf9362,My vote is only for Sai,2
@elsuy1277,Secret nu Jasmine oru weakness aanennu thonunnu 😂😂,2
@riya9811,ellarum purath genuine aaaya aalukalaaaayirukum ...but .ellarem bigbossinullile perform kanditu thanne alllle vilayiruthunnnathum kutam parayanathum....caril erunnu parayana pole allla .....oru public il erangumboooo...,2
@amnausman5682,Njn udheshicha agent ithalla😢 Ini ithokke bigbossinte kali aano😮,2
@shainipradeep7991,Sai Krishna onnukil othukalikkunnu allenkil verum bheeru.kashtam.. review okke kandal enthoru midukkan.chymma thala aatti kindirikkym.pullikku ethrye pattoo.,2
@AnilKumar-xx5yo,Jasmine knows everything Bigg Boss don't take a stand now. Isn't this show to support Jasmin? This type of work will be in everyone's mind.😂,2
@nima_00,"Top 5,,sibin❤,pooja❤jinto❤apsara❤",2
@user-zy2mn8rz4l,This Sai is now the main banana in that house... Why was he sitting in the car and criticizing all the locals,2
@fghvcx453,Jasminte egant😂😂😂😂Sai Krishna Avan Caril was not enough to sit,2
@TK7-cr7,Broyum poyi nokk ellavrudem mukham moodi azhinj veezhunna oru sthalam aahn ath . Brok ath kalikan ariyam ennan ente vishwasam 😅,2
@soiyrs6196,Correct 💯,2
@aneeshanisam2219,I used to shape my beard on Khaize festival ☺️,2
@Sajin.S.Kottarakara,Churukkam paranjaa double stand agent analoo,1
@kiyara308,Sai very bad condition 👎🏼,2
@rangoli2907,"By the time Khaize's sincere friend comes out, he has already taken an advance bail",2
@AVEEFILMS,"The agent came to the house and took him in the car, the matter of Bigg Boss was decided...",2
@darveshbabu709,Utter waste Sayi,2
@gokulkg568,Don't kill his nature...! Tell me about his game...! It will not work with him... He has been told to sit on the couch... take someone's video and comment on it... If that is the case... he will be given YouTube cash here without spending 10 paise... He will get it... That is the job he is good at. .. other than that he is a Januvin cop... vakkathe said that they are the ones who give friendship value... Bro,2
@Arun_Triads,"As a gamer pullikk nalla oookk kittum, sure aanu... But ee gameilude original Sai aaranu enn ellarum ariyum. Athu in future pullikk upakaram aakum ennanu njan viswasikkunnath... Mattullavare valippich maathram alla, original aayi ninnum game kalikkam enn chilappo Saikk prove cheyyan pattum, possibility aanu... 3G aavan aanu chance kooduthal... As you said, Jasmin is a better player... Sai is a better human! Pinne sai, idakkide parayunna oru dialogue und ""Reel is different, reality is different"" People expected the secret agent from reels, but Big Bossil ullath realityil ulla sai aanu.",2
@Dwaniii22,"Robin went to me in a good reputation, went to see me as a company and even participated in an engagement when he got a chance. There is a secret agent among those who kick him. He does not seem to fit any of the qualities that give importance to friendship.",2
@nima_00,Ikka ..innu nalla vritthi und kaanan....nalla shirtum 🌹🌹🌹🌹,2
@samya800,Asla aayit ula issue il secret agent Jasmine jaffer nta side aanu enn paranjit ndd. Audio Jasmine nod porath idaruth en Sai Jasmine nod paranju Jasmine ath kettu. But khaize ath public aakuale cheith. So parayumbo elam nokiym kandum parayanm to,2
@preethynair756,"Like Robin said, it's easy to blame from the gallery, you'll know when you get out.... But this happened to Ari Anna 😄😄😄😄",2
@nima_00,Jasminte agent car another😂,2
@ShivadaShivan,"If you look at all the seasons till now, Robin was beaten by Sai and the best friendship combo is Dilsha and Robin ❤❤❤",2
@musicloverknr2848,Shariya padu secret insta yil active aaya time il ellaavareyum eduth oookkaarundaayirunnu😂 ippo ath onnum illa😂ippo. Avarokke friends aayi. Satgyam paranna Ivan bigg Boss il poovaruthaayirunnu. Eni thirich vanna full ookku um theri vili okke aayirikkum. Kore naalu kondu kashttappettu undaakki edutha aa peeru agu pooyi kittum,2
@snehaseema5862,"Not the person we saw in the car,,, the first agent oru kunju seemed to be human,,, sound and something like.... When that hair color is added, it's complete...",2
@rajeenashamnad9482,Secret pavam aanennu thonnunnu,2
@user-be5vi5wk2m,Veluppikkyal video...ningalde okke audience full malayalees aan..pinnenthina ariyatha English ariyam enn pretend chyth parayan sremikkunath..kashtam thoonunnu😅,1
