Author,Comment
@shalinimp1019,SUZUKI IS A COMPLETE PACKAGE POWER AND REFINEMENT ALL BODY PARTS QUALITY 👍 LOW  MAINTENANCE
@philipstephen1894,Seat height vstrom nu kuduthal alle ?
@achusurjith1601,V storm or Yezdi Adventure??
@Myfishtankcreations,KTM adv 250 ano vstorm 250  ano best ?
@motoboy_46_,Blutooth connectivity indo bro
@iamsolobird,Njan Gixxer sf 250 3 years aayi use cheyyunnu..<br> Ipo wife um ayi travel cheyyan budhimutt und ..<br> Vstrom 200 km wife ne pillion vech odichu ....<br> She&#39;s Comfortable...<br> So gixxersf 250 koduthitt ith edukkunnath nalla choice aano?
@itz_me_vysakh03,Rear suspension adjustable alle
@martinmathew1752,mileage?
@mofzdarkrider,Gear box 6 speed or 5speed ?
@charlyjohn9957,I have a FZX i am thinking of upgrading to V storm 250 ... Just wanted to know if the suspension is harder than FZX
@sonudascc3847,This is for touring for Indian roads .and power delivery is fairly naked as Gixxer also the suspension.and for India this is needed.if you need more power we need more good roads and good traffic.hence suzuki is good in all ways compared to whole other brands.
@riazmajid024,Yamaha fz25 engine is way better than this machine
@testapple-ho8kq,"adipoli vandi<br><br><a href=""https://www.youtube.com/watch?v=PbTGw47ovIY"">https://www.youtube.com/watch?v=PbTGw47ovIY</a>"
@nivinvinod3447,Comparison video btw Honda200x and Vstorm
@husainummar,Bro keeway v 302 c vedio cheyye
@kavismart4757,KTM adv 250 vs suzuki sf250 detailed comparison please  because both bikes You have ride from  this which  is putget friendly  for service maintenance and long life span tell plz. From website i get comparison but i need honest review
@nivinvinod3447,Cb200x Or vstorm250🤷🏻‍♂️
@aswinvysakhj1783,"Torque kuravaanu ennu parayunnu pakshe ee vandi 6th gearil 40il pokam pakshe torque undennu parayunna Honda cb350 kondu pokan pattumo 5th gearil..Athaanu difference this engine is a gem engine...Ella characterinu im cherunna vandi ...Suspension is well balanced verthe work cheythu kalikkunna paripadi illa...Stiff anenkilum 19inch front wheels, longer wheel base,raised swingarm ellam vandiyude ride vere level akiyittundu..Standing position anenkil off-road nannayi absorb cheyyunnundu...Pakshe heavy rocky terrain oke vannal pani palum ennalum keri pokkolum torque undu lower rpmil"
@adershvimal6598,Overpriced alle kurach ? 2.7 and not even has LED tail lamps
@nisamudheen063,V strom or xpuls 200<br><br><br>Etha nallath. Please reply
@vishnupalat1205,"Hi bro, I have sat on a V Storm 250 SX in my company. I felt the seat height to be more than the Himalayan. I am a Himalayan owner. Even when I checked in Bikewale, the seat height for V Storm SX 250 is shown as 835mm and the seat height for Himalayan is 800mm. Please check and confirm which is correct."
@anandhukrishnanm3085,Njan v strom onwer aan banglor taffic engine side athyavishm heat verunud
@shivsankar9576,Gear tight undo bro Gixxer pole
@akashaj4919,strell macha ethinte stand sencer ahno
@hariknair7225,Price 😂
@akashksuresh1275,Bro oru 220 review cheyy plz
@deshpremi9591,"My bike is Suzuki Gixxer bike. I have complaint too, service is very bad. Spare parts are not available. I paid Rs 47000 to workshop for my Suzuki Gixxer in six years."
@sherlanjoseph2034,Milage parayo bro❤
@farsanm9271,Can&#39;t drive through water
@arunsubramanian8991,Himalayan nu seat height kuravu alee compare to vstrom🤔
@akshaymk3565,Xpulse ayitt compare cheyyan pattumo
@firefoxrider6781,Abs single channel aano atho ille?
@jayeshmonlbs,i am using 250cc for last 4 years(fz25)<br>What is the best upgrade in multi cylinder ??
@pike1924,Gpro maati insta 360 aakiyo ?
@BLANKBLUEBLOODBOOK,🥰
@odometer,Axor helmet uses germs
@odometer,"bro<br> Matter is not a question.. sorry<br> I have a channel I like to do moto vlogging. So I asked many people and no one responded.<br> Helmate ill set the mic on which side I am taking phone ill vlog. Can you tell me that. No matter where the mic is set, there is wind noise. bro ee comment if you see it plus where is the mic placed enu please explain .😊"
@sentinelprime.4286,"Broo, do a review of mt15 ❣️"
@haneeshkg6561,Javanese classic review cheyyo
@brijeshbthebigb,Dear Strell its not plastic its all made up of fibers
@paulachanks9475,Hai strell bro TVS Ronin review chyamoo???
@mrudukumarp5643,This is the true oil cooled engine
@travellingbetter8922,"If you don&#39;t show your face, I don&#39;t subscribe 😏😏"
@alt1810,Pillion seat  comfortable aano?<br>Space undo?
@midhunkp4118,Is this comfortable for city ride?
@_navaf_pt3213,X pulse or v storm
@emmanuveleusebions39,Off-road vandik alloy rim kodukunath shogam alle?
@armyfanboy...4673,Price ether bro.
@brunzzz4443,Plesss put a video with the difference between Duke 390 and Duke 250 and its on road price
@aravindg796,plz bring a review video of tvs ronin 225 scramble bike recently launched bike
@leonidjoseph5483,Bought it a week back. Sitting idle because of rains.
@StaazzVlogs,Bro Apache RR 310 bs6 Now a lot of people are complaining about engine malfunction. Do you have any knowledge about it..??
@sreejithsreelal2756,TVS RONIN review venam
@madboxer666,From 11 days I am waiting for next video of a super sports/cruiser bike... Your big fan ❤️...
@kishonthomas7393,Ith oru touring bike ano?
@plasmaboys8830,Bro all new latest bmw g310gs review cheyumo big fan bro
@jayarajjaju1982,Bro Kawasaki Z250&amp; Ninja 300 which one is better???
@binoy6434,Dominar 400 2022 review cheyyamo
@swis8467,Ethrayum pettennu 1 million adikate😌
@akhil5331,Which route is this? scenic views ☁️
@poha4749,Vstrom or cb 200x?
@kevindaniel2956,Bro duke 250de detailed review cheytha pole 390 de koode cheyuvo request ahne pls:)
@abixjith,Re stanterd 350 bs6 rewiew veenam strell bro
@abhijithe.s6926,Strell bro as a tourer which is better dominar 400 or vstorm? If you are looking for a better touring bike should we go for dominar 400 as the price range is similar ?
@ambikaspillai2575,How is the condition of cbr<br>Please review our beloved onee..
@kailas9314,Bro Aprila sr 160 review cheyyumo pls...🥺🙏🏻
@safvanfayiz,"Review serch cheythu, ithaa kedakkne bronte review 🤙"
@SportsFitnessTravelcreations,Review ❤🔥👍
@sachuks2914,Mt 09 review cheyamo ❤️
@salmaan-950,Bro ne njan innale dream il kandarnu fan from palakkad
@mot_seze___vlogs,Anna cbr 250 review chryyavo
@harispv2963,Strell buddy..🔥❤️
@leo6579,2022 himalayalan review varuvo🙏🙏
@costaboyff8708,Bro Honda cb 350 rs review cheyumo
@amotoboy7984,1M loading
@rafimarakkar,ഈ segmentil “Ktm adventure 250 “is best bike🔥
@theblackpanther1518,Hope so 😍😍😍😍
@psychomalak1405,Appo vandi vaangana vende
@Alex-thankachan,Vashi pidichu g310r vanikano 😓 atho sx250 vanikano paranju tharuvo
@samvarghese9374,Best review in Malayalam
@riders_of_kerala,Rod to 1 million ❤️❤️❤️❤️❤️
