Author,Comment
@Zlatan_.,Sibin and Abhishek Sreekumar nalla gamers ahnu but secret agent🥴
@amalavani7,Abhishek S is the best player
@sudheernaz503,Sai is a bad boy😅
@renjithsahadevan4110,sherikun oru bmw 520d kodutha porannooo😂😂😂
@dhashamoolamdhamu5678,Jinto Fans💥
@susannakurian26,ith enna bigboss channel anno bro ingane allarunallo
@hishamuk7733,Eda 😂😂 boy game an avare randaleyum kodi adipocha karyam simple 😂avummb
@majidhaadhil1807,"Podaa athu mikkavarum boss paranjathayarikkum,,<br> Nee verum koppana haters ullavare mathram oombunna koppan kurach fans ulla aalkkaare onnum parayillaaa chettaaa"
@shahidasalam7762,Jasmi haters like<br>👇
@shahidasalam7762,Sai full moye moye aanalloo😂😂😂
@vinsmokezoro9,Abhishek Sreekumar ✅🗿
@cenin.1606,Amhne caril irunale moode varo
@HTIIndia,Pina yum umpi agent
@HTIIndia,Umpi agent😂😂😂😂😂😂
@user-ln9qn8zi1e,Enikk mathram enthaa 1000like kittaathath😢
@sindushinoj793,Ashkar techy ❌ Bigg Boss techy ✅
@drago93ff,NO CAR NO GAME 😏
@MENINBRAVE,Ullup ondo chegayi anakk
@coffee9028,mandan agent
@sajith2326,Ivan kurach over anenn oru doubt illathilla.
@Mallu_efootball_,😂😂😂😂😂
@user-mg1ir6gm2s,Best player jasminnnn
@user-mg1ir6gm2s,Jasmin ishthamullavar undooo❤
@Priya_Santhosh_,njaan livil kandu saayikku randaamathe warning kittitund ... 3rd time bigbos avane purathaakkum😅
@Mr_y2k_boy,Ottakk chali paran ottakk cherikkunn
@guppyZlifE,Nee poyalum ethoke thanne avasta😂
@AjayBinu-jv8vj,Poyi Pani eduth jeevikku chetta....
@anandhuradhakrishnan8690,Panna karimbara polayadi mone😂
