Author,Comment,Predicted_Class
@user-vv8ys1vy9r,😅😅 8:49,2
@Padmanabhan-ic4hq,Norane reacted cheyy,2
@alfin_c_,Ni seen Ada muthey 😂,2
@mohammadnihad.k3051,Soloviner fans like adi👍,2
@williamshakespearkannan7805,Astro talk inte karyam copy paste pole pala youtuber marum paranju😂 enikke vattayathano ellavarkkum vattayathano🤣,2
@Top10things172,Toppy + wicky tug kode aduth big bossil vannal💀,2
@user-zg9sd4lk2i,Solo vinere eda njn ippo brutode vedio kandit vanne oll nee kandd nok 2um samee mate astronomy oo athinta,2
@Dark_Fire5,Enikk 100 like tharuo,2
@efxmedia7,Purhiya filter police 😂,2
@Modified98395,1000 like tharumo 😢,2
@jynanu6349,Kollam kollamm😅😅,2
@user-oj7mx5lk7e,2:31,2
@user-kx1zl7mc2q,"Broo atleast change your script of astrotalk, every youtuber is saying the exact same thing 😂😂😂 and same name pallavi ....nowadays nobody is trustable",2
@user-of9cm4wu9f,😂😂😂😂😂😂😅😅😅😅🤩🤩🤩🤩🤩🤩🤩🤩🤩🤣🤣🤣🤣🤣🤣🤣❤❤❤❤❤❤,2
@Ajay____999,10 like the sermon,2
@IND-AKKZA,Janmani❌kalakeyan ✅😂,2
@divyamolvb4162,Hi,2
