Author,Comment,Predicted_Class
@soro_shams1086,2:39 broooo🤣,2
@eveanabell9082,Get two if there’s two in a cage so then you don’t leave his or she’s brother or sister,2
@yitongwang-ib8lk,I choose the meat,2
@HaseifHaseif,But ishowspeed is muslim,2
@ERIN_332,1 and 2 is cute bro 😭,2
@user-ci3he4my5n,4,2
@cheniva40,1&2,2
@RyanSubia-sb6jr,Bros a mom💀,2
@Ennocyoutuber,❤❤❤❤❤so cutttte,2
@asiaalbert1079,1,2
@user-ng2eo9os9b,12,2
@Mateox0915,We forgot Ben,2
@mamatressstress7053,Take both of them,1
@Mateox0915,Speed you are a dog,2
@Anish_lockdown,Bro forgot ben,2
@ajaytelange4699,rgggtrtuyúú⅞⅞yúgt7😢,2
@KashifAli-wf3wp,I like dogs😊,2
@jeneyastewart3816,Sarah,2
@MadisonGalloway-jt3uv,❤😢😢,2
@felixvlkhawlhring6939,😊😊😊😊😊☺️☺️☺️☺️☺️🤭🤭🤭🥰😘😚😚,2
@user-gh9cv4hr8n,Four,2
@user-fl2os9ik8u,1,2
@hayleyjefferson5051,Sarah❤,2
@gundiantonov6728,🐶,2
@Jorja.k-t,I wish he got all Dogs!,2
@user-ds1xi2jn3q,I hope Bruno's ok he need some really good rest stay in heaven,2
@danialdanishdani,Bruh speed why you not adopts ben?!?,2
@ZarenLhoedBalano,5:46 hahahha,2
@Dark_heart8-,Wait what’s  the place called,2
@user-hl1ql4wy1v,You messed up you should of got Ben he was crying,2
@KingAb683,54:51 i forgot ben😂😂😂😂😂,2
@KingAb683,37:48 the dog is rasist,2
@xxxJackson4231,This is ben,2
@deveshalgu3529,1 an2,2
@user-zm6ss6oe3o,1 in 2,2
@user-dr6mr8jh3p,1 2,2
@user-dr6mr8jh3p,Sie ist sortiert❤🥺,2
@Dogelouvre20,We forgot ben,2
@Aftekhar-ni5te,Speed I like number one is so cute number one and is my favourite you should adopt a pet speed,2
@Aftekhar-ni5te,Speed whatSpeed are you name the dog Chelsea because I like that name is that it is as loud Chihuahua or Hoxie have a great time your dog have a lovely weekend have a lovely day bye speak❤😊,2
@user-yl4qb1ti8e,Do all,2
@KindaGodly,W ben👇🏻,2
@Evas-Adventures,Can 1 of you guys talk to me in the chat I'm kind of lonely I'm kinda lonely I don't like itit,1
@Evas-Adventures,Yeah he is so cute you're right☺️✌😄🙂,2
@Wintermissing,𝐬𝐨 𝐜𝐮𝐭𝐞,2
@RuthVillalobos-wn7sp,😭😭😭wow🦮🐕Tyy,2
@RuthVillalobos-wn7sp,Tyyyyy😅😂😂😂😨😨👍👎yes.     No🫵??Wow,2
@RuthVillalobos-wn7sp,Wow🦮🐕 Ian🥺🥺🤩🤩noGg,2
@guohongjuanhongjuan5413,Siuuuuuuuuuuuuuuu,2
@jesusvalencia6252,Ronolo is the beeeeeeeeeeeeest!,2
@ElleighHughes-lg5sh,All of them Fuck me up Because of the all of fuckng of cute little Babies Girl and Bay,1
@IsaiahWebster-so8ch,Sulu,2
@3bandagirls408,So cute 💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕,2
@3bandagirls408,I been there before and it makes me cry because there are so many dogs to Adopt😢❤❤❤❤❤❤❤❤❤,2
@Skididitoilet5,BEN,2
@Skididitoilet5,Heheheheheheehehehehehheehehheehehhehe,2
