Author,Comment
@Mystical849,Aah manjumal boys for manjumal boys ennan lavanmar parayanath<br> Malayalam Tamilil ninn undayathanen polum😂😂😂
@AravindR-fi9cw,Ithu aviduthe pullingo monnakal kand vijayippikkendathanallo😂
@user-zx6tg4fd6v,They have an inferiority complex with North Indians and Malayalees<br> White cause to North Indians. Because they are white to Mallus and because Kerala is better than Tamil Nadu
@mrwhitedevil5197,Sharikkum pandikale thanne myrante oru movie
@anuvardhank.n3337,Kudos to the actors and dialogue writers who worked on Malayalam parts in this film.
@UNNI-uv2mm,Tamilians are total aphrodisiacs and will act with great respect and malice on the outside ❗️<br> There is a lot of malice in inviting Malayali girls from Kerala<br> -by an experienced person
@abhijith2002,"After seeing this picture, I have only one thing to say Pandikarimbara Polayadi man 😂😂😂"
@srajms,Ithu etho bjp karan undakkiyathanu.
@Vishal-my4pc,Ithipo tamil padam aano Malayalam padam aano 😂😂😂😂4
@ViratSharma-uv4gg,Communist.p.. makkal thoooo
@ViratSharma-uv4gg,GV light..thank you...this is the best place to think
@anjalikp2680,Uncle Poli said last review
@eaglebeats8967,Enth myr paattaan 😂😂
@dinkan9550,Her ammavan swallowed the fruit
@siddharthprabhath,"I am a student of Government College Chittur and there has never been such an incident in the history of this college so far, I don&#39;t know on what basis they are depreciating our college and Malayali students by saying that it is based on true events 😔. Tamilians and Malayalis go here in good harmony then and now 💯🫂"
@clowngameing3940,Nalla moonjiya cenima 🥴
@funnymanx42d96,Some Malayalee has given good original work..
@UZUMAKICLAN9,Manjumal boysil nammal tamizhanmare athrakk moshamaki kattiyittillallo athinekkal original aayitt avar enthokke cheythittund eth athonumalla verum kazhappu avark nalla padam erakathathilulla
@sreeharimenon181,Oh what&#39;s this Lyrics??
@BETA_TROLLS,Ee paandi pundakale kond 😂😂
@anupallyvishnu804,Bomb😂
@vyshnav9924,Pandi Karimbara Polayadi Makkal 🥴
@sreeramroshan8435,Vayalar ezhuthuvo ithupole 😂
@nishadmajeed9796,It seems that Mamita Baiju will lose the name she made with Premalu movie with this one film
@Alonewalker_s_,"KSU leader wants white shirt, SFI leader wants red shirt"
@knocker9391,Tamil people should have more confidence in themselves 😢
@aymznsn,&quot;Pulelathi Penn&#39;s mouth opened when Bharani song&quot; Is Kodungallur Bharani song? 😂😂<br> Vayalar writes like this 😂😂
@salmanesmail2966,I died laughing...
@geethakrishnan9857,"Otherwise, Tamils have a self-promoting nature 😄"
@GOATSHUB-qg6ij,Mexican aparatha alle eth
@Mr_dude__,This is the movie 🙄🙄
@ViLLiaR779,🤣🤣
@sindhumaneesh2618,"This movie is a true story that took place in the 1980s, and the film was destroyed and handed over to Annannammar."
@spjmfamily,Enakum pudikla gv yen intha story select pannaaru mudinju ponatha thondrathe ipo trending pola so 😢
@akashjoseph8349,Nalla panni vechirukke.. 😂😂
@christinjoseph4749,Ennalum ee padathil enthorom malayalikal aa santhoshm 😁😁😁
@JPointBelieve,British kare ethire kaHinapo pine north and south epo tamil vs kerala 🤣 manga
@abhiabhishekkumar8431,That jar song 😂😂
@akash-ss5oy,"In any case, when a Malayali goes to Tamil Nadu, be strong. 83 is a story"
@abhijithacharya1091,Unda vada 😂
@midhunlalsuresh6021,Atom Bomb star GVP ✨️💩
@Game_Gameing_Gamers,We make Tamilians villains and they make them villains
@user-vd8qk5in5e,Mamitha ee movieyude full story kandathinu sesham promote cheyth story ittilla .well decision.aa kutti premaluvinu munnu cheytha movie aanu.ini immathiri padangal cheyyan thala vachu kodukkaruth ❤🤞
@muhammadrifask,Oru kaaryathilu ee padathodu nanni ondu.<br> Kerala Story pole malayalam language thettichilla.
@user-vd8qk5in5e,premalu ott rlease nu wait cheyyunnavar aarokke?❤🎉
@user-vd8qk5in5e,"Premalu ott releasinu wait cheyyunnavar like <a href=""http://tharoo.ee/"">tharoo.ee</a> movie premaluvinu munnu shoot cheyth kazhinja old movie aanu.release aayath late aayit aanennu mathram ❤"
@nivedhmd3877,"Classic Senthamir + Sanskrit = Malayalam, not from today&#39;s Pandi Tamil. In many places it is more similar to Senthamil and Malayalam than today&#39;s Pandi Tamil"
@ayushabhi6558,Blue Sattai Maran 😂
@SreekalaNv,"Mamitha pavam.aa kutti ith premaluvinu munnu cheytha movie <a href=""http://aanu.movie/"">aanu.movie</a> full kandappol aavum aa kuttikkum chathi manasilayath.full story ariyathe abinayichu.atharinje pinne ee movieye patti oru story polun ittittilla.ith avarodulla revenge aanu.oru promotion story polum ittilla.aa directork angane Thanne Venam😅😅😅"
@AishudevDev,Mamitha ith premaluvinu munnu cheytha movie aanu.avalk ee movie full kandapo avar cheet cheythathanennu manasilayi ee padathine patti aval story promotions onnum ittilla.very good decision ❤🎉
@AishudevDev,Mamithayude portion mathram mitaik director paranj koduthu kaanum.but full movie story kandappo mitaik kalip aayi promotions story onnum ittilla.ithokke premaluvinu munne cheytha movie aanu ❤
@johnnyspark8931,Appol ithil act cheytha malayalikaloooooooooooooooo😢
@vipulkrishna0078,Ee naarikal chittur college kaanichirikunna kandale eduthitt chavittana thoniyath njn padicha college inganeya alla
@user-vd8qk5in5e,Mamitha ithokke premaluvinu munne cheytha movie aanu.cheriya role cheythunnu mathram ipo aanel ee movie cheyyilla.ithokke munne cheytha movie aanu.mita fans ❤
@NavyaGopal-pn9cs,Mamitha ithokke premaluvinu munne cheytha movie aanu.relase aayath late aayit aanennu mathram.ipo aanel aa kutti ee movie cheyyillayirunnu.mita ishtam❤
@ArunArun-bt2uj,😂😂
@Sreeshaa-lo8kp,Enth patt aadaa athh😂😂
@SanjuK-zm7rl,"Pottakkinattile thavalakaleppoleyanu,chila thamizhanmar..vivaram kettavanmar<br> ."
@Itz_me_amrutha..,"My Ponno, I should give an award to those who watched this in full in the theater... 🤦🏻‍♀️🙏🏻"
@vichu1244,It is better not to say what they do to the Malayali children in Tamil Nadu.
@aryagopakumar9855,"<a href=""https://www.youtube.com/watch?v=bm38ntcQh_s&amp;t=170"">2:50</a> Is this song sung by Jairam? Sound like that 🤔"
@VigneshVignesh-vg6kh,The claim of Malayalis that all Tamil Nadu men fall in love with Kerala girls is wrong. Women. They are beautiful. Why should we say we want a Kerala girl when there are crores of Tamil girls in Tamil Nadu?
@veenaveena5841,"After the Kerala story, the next one has come<br> And since Malayalees have information, we are not spreading any immadiri aravatas"
@akhil7393,The truth is that the movie Moojummal boys also came out and the Tamil audience there was all excited for Moojummal boys and I heard that this rebel was gone within a week 😂😂
@bibinkunjumon,Sfy is worst...
@visakhv.o873,Myre padam ottavakile.<br> Ethraa tharam thazhnee povaruthadaa myreee.<br> Nee enna nitte manasile vesham correct ayate nee screen kannichatundee .<br> Eniyum emmathiri myree padamayituu vannam neee...
@user-jw4ky9gv8q,😂
@Keralasanchari78,😂😂😂😂 song...
