Author,Comment,Predicted_Class
@Squeak1234,Türk varmı,2
@Qounterman,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=444"">7:24</a> caseoh moment",2
@Qounterman,"Ishowfeet <a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=302"">5:02</a>",2
@ElvenWarriorFan,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=292"">4:52</a> :))))",2
@Kskskskosowpw,Bro what the [__] what is that big nose [__],2
@user-ou8ws4qo6t,he is not from russia,2
@Stinger_vr9,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=290"">4:50</a> why bro showing his feet",2
@davitdolbaia1220,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂ooo my godddd,2
@THEREALXSTEP,i almost die at laughing L,2
@MDWHiTFFking,🥴🥴🥴🥴,2
@DOORS720,😊21<br>Sza,2
@DOORS720,Спит на первом месте Привет,2
@DOORS720,I Show Speed крутой ладно,2
@stanislavzaytsev3482,ничего не понял,2
@JermaineandJasminetheYoutubers,Nah,2
@chebettuindo784,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=135"">2:15</a> was so funny",2
@tenikavann6984,"Hi, my name is dog day. Hi, my name is cat nap. Hi, my name is happy hopscotch. Hi, my name is piggy piggy let’s eat. Hi, I’m craft corn. Let’s paint. Hi Ld the all of the critters.",2
@user-ik7it4kj3q,😯,2
@runjungogoi5005,...,2
@user-rh7bc4ln3o,SOS,2
@user-yq6uf4ce5s,"At <a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=337"">5:37</a> is umnail",2
@joelcaingles2815,Yes repeat looks like that,2
@joelcaingles2815,hahahaha😂,2
@AngeloKenthGranada-jg6wd,Bro the thumbnail😂,2
@Full978,Hiiiiii😂😂😂😂😂,2
@Full978,Фууууу😂😂😂😂😂,2
@RefrideratorGaming,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=434"">7:14</a> that ain’t Russia lol",2
@jokubas-nx7gn,i love you,1
@user-yd6zd7ek1k,я русский,2
@user-st3dp2tx2z,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=421"">7:01</a> I’m legit dying😭😭",2
@devilgaming-wk5hn,Dont talk about Russia bad i m from india but india and russia are united 😢,2
@allaivanishvili,😑,2
@user-df9vi2rz7r,😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2
@adgamingofficial432,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=336"">5:36</a> got me dying 😂😂😂💀💀",2
@cmafatimahcmafatiah8596,One Direction from various 😂😂😂😂😂😂<br>Ustaz Azhar Idrus dan,2
@courtney4479,Absolutely none likes on my comments😢😢😢😢😢😢,2
@NOTGAYYYY400,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=222"">3:42</a> I show speed:🔫🔫",2
@HeisLemi,This is Hilarious 😂😂,2
@user-nk8lh5hs5b,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=394"">6:34</a> WTH IS WRONG WITH THE NOSE",2
